Region,Country,Year,Series,Value,Footnotes,Source
192,Cuba,2018,Current health expenditure (% of GDP),11.0,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
192,Cuba,2019,Current health expenditure (% of GDP),11.1,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
192,Cuba,2020,Current health expenditure (% of GDP),12.5,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
192,Cuba,2005,Domestic general government health expenditure (% of total government expenditure),11.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
192,Cuba,2010,Domestic general government health expenditure (% of total government expenditure),13.9,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
192,Cuba,2015,Domestic general government health expenditure (% of total government expenditure),18.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
192,Cuba,2018,Domestic general government health expenditure (% of total government expenditure),14.9,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
192,Cuba,2019,Domestic general government health expenditure (% of total government expenditure),15.5,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
192,Cuba,2020,Domestic general government health expenditure (% of total government expenditure),16.4,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
196,Cyprus,2005,Current health expenditure (% of GDP),5.4,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
196,Cyprus,2010,Current health expenditure (% of GDP),6.5,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
196,Cyprus,2015,Current health expenditure (% of GDP),6.8,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
196,Cyprus,2018,Current health expenditure (% of GDP),6.8,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
196,Cyprus,2019,Current health expenditure (% of GDP),6.9,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
196,Cyprus,2020,Current health expenditure (% of GDP),8.1,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
196,Cyprus,2005,Domestic general government health expenditure (% of total government expenditure),5.7,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
196,Cyprus,2010,Domestic general government health expenditure (% of total government expenditure),7.1,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
196,Cyprus,2015,Domestic general government health expenditure (% of total government expenditure),7.1,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
196,Cyprus,2018,Domestic general government health expenditure (% of total government expenditure),6.7,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
196,Cyprus,2019,Domestic general government health expenditure (% of total government expenditure),10.0,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
196,Cyprus,2020,Domestic general government health expenditure (% of total government expenditure),14.1,Since 2016 health expenditure data do not include foreign health insurance provided insurance to the country's residents is missing.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
203,Czechia,2005,Current health expenditure (% of GDP),6.3,Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
203,Czechia,2010,Current health expenditure (% of GDP),6.9,Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
203,Czechia,2015,Current health expenditure (% of GDP),7.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
203,Czechia,2018,Current health expenditure (% of GDP),7.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
203,Czechia,2019,Current health expenditure (% of GDP),7.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
203,Czechia,2020,Current health expenditure (% of GDP),9.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
203,Czechia,2005,Domestic general government health expenditure (% of total government expenditure),12.8,Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
203,Czechia,2010,Domestic general government health expenditure (% of total government expenditure),13.1,Country is still reporting data based on SHA 1.0.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
203,Czechia,2015,Domestic general government health expenditure (% of total government expenditure),14.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
203,Czechia,2018,Domestic general government health expenditure (% of total government expenditure),15.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
203,Czechia,2019,Domestic general government health expenditure (% of total government expenditure),15.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
203,Czechia,2020,Domestic general government health expenditure (% of total government expenditure),17.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
180,Dem. Rep. of the Congo,2005,Current health expenditure (% of GDP),4.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
180,Dem. Rep. of the Congo,2010,Current health expenditure (% of GDP),3.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
180,Dem. Rep. of the Congo,2015,Current health expenditure (% of GDP),4.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
180,Dem. Rep. of the Congo,2018,Current health expenditure (% of GDP),3.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
180,Dem. Rep. of the Congo,2019,Current health expenditure (% of GDP),3.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
180,Dem. Rep. of the Congo,2020,Current health expenditure (% of GDP),4.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
180,Dem. Rep. of the Congo,2005,Domestic general government health expenditure (% of total government expenditure),2.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
180,Dem. Rep. of the Congo,2010,Domestic general government health expenditure (% of total government expenditure),2.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
180,Dem. Rep. of the Congo,2015,Domestic general government health expenditure (% of total government expenditure),3.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
180,Dem. Rep. of the Congo,2018,Domestic general government health expenditure (% of total government expenditure),4.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
180,Dem. Rep. of the Congo,2019,Domestic general government health expenditure (% of total government expenditure),4.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
180,Dem. Rep. of the Congo,2020,Domestic general government health expenditure (% of total government expenditure),6.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
208,Denmark,2005,Current health expenditure (% of GDP),9.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
208,Denmark,2010,Current health expenditure (% of GDP),10.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
208,Denmark,2015,Current health expenditure (% of GDP),10.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
208,Denmark,2018,Current health expenditure (% of GDP),10.1,Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
208,Denmark,2019,Current health expenditure (% of GDP),10.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
208,Denmark,2020,Current health expenditure (% of GDP),10.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
208,Denmark,2005,Domestic general government health expenditure (% of total government expenditure),14.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
208,Denmark,2010,Domestic general government health expenditure (% of total government expenditure),15.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
208,Denmark,2015,Domestic general government health expenditure (% of total government expenditure),16.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
208,Denmark,2018,Domestic general government health expenditure (% of total government expenditure),16.7,Break in the time series.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
208,Denmark,2019,Domestic general government health expenditure (% of total government expenditure),17.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
208,Denmark,2020,Domestic general government health expenditure (% of total government expenditure),16.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
262,Djibouti,2005,Current health expenditure (% of GDP),3.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
262,Djibouti,2010,Current health expenditure (% of GDP),3.1,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
262,Djibouti,2015,Current health expenditure (% of GDP),3.1,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
262,Djibouti,2018,Current health expenditure (% of GDP),2.3,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
262,Djibouti,2019,Current health expenditure (% of GDP),2.0,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
262,Djibouti,2020,Current health expenditure (% of GDP),2.0,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
262,Djibouti,2005,Domestic general government health expenditure (% of total government expenditure),5.3,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
262,Djibouti,2010,Domestic general government health expenditure (% of total government expenditure),7.0,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
262,Djibouti,2015,Domestic general government health expenditure (% of total government expenditure),4.1,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
262,Djibouti,2018,Domestic general government health expenditure (% of total government expenditure),4.3,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
262,Djibouti,2019,Domestic general government health expenditure (% of total government expenditure),4.3,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
262,Djibouti,2020,Domestic general government health expenditure (% of total government expenditure),4.3,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
212,Dominica,2005,Current health expenditure (% of GDP),5.0,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
212,Dominica,2010,Current health expenditure (% of GDP),5.2,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
212,Dominica,2015,Current health expenditure (% of GDP),5.2,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
212,Dominica,2018,Current health expenditure (% of GDP),6.1,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
212,Dominica,2019,Current health expenditure (% of GDP),5.1,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
212,Dominica,2020,Current health expenditure (% of GDP),5.6,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
212,Dominica,2005,Domestic general government health expenditure (% of total government expenditure),8.7,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
212,Dominica,2010,Domestic general government health expenditure (% of total government expenditure),7.4,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
212,Dominica,2015,Domestic general government health expenditure (% of total government expenditure),9.7,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
212,Dominica,2018,Domestic general government health expenditure (% of total government expenditure),6.2,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
212,Dominica,2019,Domestic general government health expenditure (% of total government expenditure),7.6,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
212,Dominica,2020,Domestic general government health expenditure (% of total government expenditure),5.4,Data revision.;Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
214,Dominican Republic,2005,Current health expenditure (% of GDP),4.4,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
214,Dominican Republic,2010,Current health expenditure (% of GDP),4.9,Data revision.;Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
214,Dominican Republic,2015,Current health expenditure (% of GDP),4.7,Data revision.;Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
214,Dominican Republic,2018,Current health expenditure (% of GDP),4.1,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
214,Dominican Republic,2019,Current health expenditure (% of GDP),4.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
214,Dominican Republic,2020,Current health expenditure (% of GDP),4.9,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
214,Dominican Republic,2005,Domestic general government health expenditure (% of total government expenditure),9.2,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
214,Dominican Republic,2010,Domestic general government health expenditure (% of total government expenditure),15.9,Data revision.;Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
214,Dominican Republic,2015,Domestic general government health expenditure (% of total government expenditure),14.2,Data revision.;Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
214,Dominican Republic,2018,Domestic general government health expenditure (% of total government expenditure),15.4,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
214,Dominican Republic,2019,Domestic general government health expenditure (% of total government expenditure),15.6,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
214,Dominican Republic,2020,Domestic general government health expenditure (% of total government expenditure),14.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
218,Ecuador,2005,Current health expenditure (% of GDP),5.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
218,Ecuador,2010,Current health expenditure (% of GDP),6.1,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
218,Ecuador,2015,Current health expenditure (% of GDP),7.5,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
218,Ecuador,2018,Current health expenditure (% of GDP),7.9,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
218,Ecuador,2019,Current health expenditure (% of GDP),7.8,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
218,Ecuador,2020,Current health expenditure (% of GDP),8.5,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
218,Ecuador,2005,Domestic general government health expenditure (% of total government expenditure),7.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
218,Ecuador,2010,Domestic general government health expenditure (% of total government expenditure),8.2,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
218,Ecuador,2015,Domestic general government health expenditure (% of total government expenditure),10.9,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
218,Ecuador,2018,Domestic general government health expenditure (% of total government expenditure),13.1,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
218,Ecuador,2019,Domestic general government health expenditure (% of total government expenditure),13.3,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
218,Ecuador,2020,Domestic general government health expenditure (% of total government expenditure),13.9,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
818,Egypt,2005,Current health expenditure (% of GDP),4.9,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
818,Egypt,2010,Current health expenditure (% of GDP),4.2,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
818,Egypt,2015,Current health expenditure (% of GDP),5.3,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
818,Egypt,2018,Current health expenditure (% of GDP),5.0,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
818,Egypt,2019,Current health expenditure (% of GDP),4.8,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
818,Egypt,2020,Current health expenditure (% of GDP),4.4,Data revision.;Break in the time series.;Data refer to fiscal years beginning 1 July.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
818,Egypt,2005,Domestic general government health expenditure (% of total government expenditure),5.2,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
818,Egypt,2010,Domestic general government health expenditure (% of total government expenditure),4.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
818,Egypt,2015,Domestic general government health expenditure (% of total government expenditure),5.1,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
818,Egypt,2018,Domestic general government health expenditure (% of total government expenditure),4.7,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
818,Egypt,2019,Domestic general government health expenditure (% of total government expenditure),4.8,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
818,Egypt,2020,Domestic general government health expenditure (% of total government expenditure),5.2,Data revision.;Break in the time series.;Data refer to fiscal years beginning 1 July.;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
222,El Salvador,2005,Current health expenditure (% of GDP),9.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
222,El Salvador,2010,Current health expenditure (% of GDP),8.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
222,El Salvador,2015,Current health expenditure (% of GDP),8.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
222,El Salvador,2018,Current health expenditure (% of GDP),8.3,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.;Last available data reported by the country using Government reports and national accounts data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
222,El Salvador,2019,Current health expenditure (% of GDP),8.5,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.;Last available data reported by the country using Government reports and national accounts data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
222,El Salvador,2020,Current health expenditure (% of GDP),9.9,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.;Last available data reported by the country using Government reports and national accounts data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
222,El Salvador,2005,Domestic general government health expenditure (% of total government expenditure),18.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
222,El Salvador,2010,Domestic general government health expenditure (% of total government expenditure),17.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
222,El Salvador,2015,Domestic general government health expenditure (% of total government expenditure),17.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
222,El Salvador,2018,Domestic general government health expenditure (% of total government expenditure),16.7,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.;Last available data reported by the country using Government reports and national accounts data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
222,El Salvador,2019,Domestic general government health expenditure (% of total government expenditure),17.3,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.;Last available data reported by the country using Government reports and national accounts data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
222,El Salvador,2020,Domestic general government health expenditure (% of total government expenditure),17.8,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.;Last available data reported by the country using Government reports and national accounts data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
226,Equatorial Guinea,2005,Current health expenditure (% of GDP),1.5,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
226,Equatorial Guinea,2010,Current health expenditure (% of GDP),1.8,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
226,Equatorial Guinea,2015,Current health expenditure (% of GDP),2.9,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
226,Equatorial Guinea,2018,Current health expenditure (% of GDP),3.1,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
226,Equatorial Guinea,2019,Current health expenditure (% of GDP),3.0,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
226,Equatorial Guinea,2020,Current health expenditure (% of GDP),3.8,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
226,Equatorial Guinea,2005,Domestic general government health expenditure (% of total government expenditure),1.5,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
226,Equatorial Guinea,2010,Domestic general government health expenditure (% of total government expenditure),1.5,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
226,Equatorial Guinea,2015,Domestic general government health expenditure (% of total government expenditure),1.3,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
226,Equatorial Guinea,2018,Domestic general government health expenditure (% of total government expenditure),3.2,Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2023."
