"COU","Country","VAR","Variable","CO2","Country of origin","YEA","Year","Value","Flag Codes","Flags"
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2010","2010",6,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2011","2011",22,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2012","2012",8,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2013","2013",7,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2014","2014",2,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2015","2015",26,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2016","2016",26,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2017","2017",37,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2018","2018",15,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2019","2019",18,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2020","2020",8,,
"IRL","Ireland","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2021","2021",13,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2000","2000",20,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2001","2001",11,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2002","2002",11,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2003","2003",9,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2004","2004",6,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2005","2005",8,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2006","2006",2,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2007","2007",3,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2008","2008",4,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2009","2009",1,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2010","2010",5,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2011","2011",7,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2012","2012",8,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2013","2013",3,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2014","2014",3,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2015","2015",2,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2016","2016",2,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2017","2017",2,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2018","2018",5,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2019","2019",2,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2020","2020",2,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2021","2021",1,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2022","2022",1,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2003","2003",1,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2005","2005",3,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2010","2010",1,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2013","2013",1,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2014","2014",1,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2019","2019",2,,
"ESP","Spain","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2022","2022",1,,
"SWE","Sweden","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2000","2000",28,,
"SWE","Sweden","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2001","2001",27,,
"SWE","Sweden","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2002","2002",32,,
"SWE","Sweden","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2003","2003",36,,
"SWE","Sweden","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2004","2004",37,,
"SWE","Sweden","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2005","2005",46,,
"SWE","Sweden","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2006","2006",63,,
"SWE","Sweden","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2007","2007",44,,
"SWE","Sweden","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2008","2008",44,,
"SWE","Sweden","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2009","2009",87,,
"SWE","Sweden","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2010","2010",156,,
"SWE","Sweden","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2011","2011",96,,
"SWE","Sweden","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2012","2012",48,,
"SWE","Sweden","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2013","2013",48,,
"SWE","Sweden","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2014","2014",32,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2000","2000",154,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2001","2001",130,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2002","2002",139,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2003","2003",83,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2004","2004",128,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2005","2005",165,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2006","2006",133,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2007","2007",100,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2008","2008",112,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2009","2009",100,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2010","2010",117,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2011","2011",49,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2012","2012",39,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2013","2013",55,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2014","2014",79,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2015","2015",47,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2016","2016",61,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2017","2017",59,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2018","2018",79,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2019","2019",89,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2020","2020",132,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2021","2021",156,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2002","2002",30,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2003","2003",33,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2004","2004",22,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2005","2005",26,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2006","2006",26,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2007","2007",35,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2008","2008",46,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2009","2009",43,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2010","2010",39,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2011","2011",72,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2012","2012",83,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2013","2013",75,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2014","2014",70,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2015","2015",74,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2016","2016",64,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2017","2017",78,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2018","2018",86,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2019","2019",84,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2020","2020",83,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2021","2021",76,,
"ISR","Israel","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2002","2002",1,,
"ISR","Israel","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2005","2005",1,,
"ISR","Israel","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2020","2020",1,,
"ISR","Israel","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2022","2022",1,,
"SVN","Slovenia","IFTD","Foreign-trained doctors - Annual inflow","IRQ","Iraq","2000","2000",1,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2008","2008",1,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2009","2009",1,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2011","2011",1,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2013","2013",3,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2014","2014",2,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2015","2015",3,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2018","2018",1,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2019","2019",2,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2020","2020",2,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2021","2021",1,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2022","2022",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2000","2000",29,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2001","2001",39,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2002","2002",70,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2003","2003",57,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2004","2004",69,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2005","2005",61,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2006","2006",74,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2007","2007",75,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2008","2008",97,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2009","2009",97,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2010","2010",133,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2011","2011",119,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2012","2012",165,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2013","2013",180,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2014","2014",213,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2015","2015",220,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2016","2016",247,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2017","2017",239,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2018","2018",350,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2019","2019",282,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2020","2020",314,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2021","2021",331,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2009","2009",1,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2010","2010",1,,
"DNK","Denmark","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2014","2014",1,,
"FIN","Finland","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2010","2010",1,,
"FIN","Finland","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2011","2011",1,,
"FIN","Finland","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2019","2019",1,,
"FIN","Finland","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2021","2021",1,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2011","2011",0,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2012","2012",0,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2013","2013",1,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2014","2014",3,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2015","2015",1,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2016","2016",1,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2017","2017",2,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2018","2018",4,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2019","2019",1,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2020","2020",2,,
"FRA","France","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2021","2021",3,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2000","2000",2,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2001","2001",2,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2002","2002",1,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2003","2003",1,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2004","2004",1,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2005","2005",1,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2006","2006",2,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2007","2007",1,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2008","2008",2,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2009","2009",2,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2010","2010",1,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2011","2011",4,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2012","2012",2,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2013","2013",2,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2014","2014",2,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2015","2015",3,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2016","2016",1,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2018","2018",2,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2019","2019",2,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2020","2020",3,,
"DEU","Germany","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2021","2021",4,,
"HUN","Hungary","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2010","2010",1,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2000","2000",24,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2001","2001",35,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2002","2002",32,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2003","2003",41,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2004","2004",44,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2005","2005",48,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2006","2006",48,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2007","2007",36,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2008","2008",71,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2009","2009",65,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2010","2010",52,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2011","2011",55,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2012","2012",57,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2013","2013",83,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2014","2014",50,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2015","2015",75,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2016","2016",60,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2017","2017",52,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2018","2018",85,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2019","2019",88,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2020","2020",65,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2021","2021",42,,
"NZL","New Zealand","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2022","2022",37,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2000","2000",261,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2001","2001",214,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2002","2002",188,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2003","2003",191,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2004","2004",173,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2005","2005",145,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2006","2006",124,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2007","2007",116,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2008","2008",108,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2009","2009",134,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2010","2010",150,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2011","2011",150,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2012","2012",142,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2013","2013",171,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2014","2014",174,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2015","2015",243,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2016","2016",246,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2017","2017",242,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2018","2018",233,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2019","2019",289,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2020","2020",253,,
"GBR","United Kingdom","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2021","2021",338,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2002","2002",67,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2003","2003",90,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2004","2004",66,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2005","2005",85,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2006","2006",77,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2007","2007",89,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2008","2008",81,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2009","2009",68,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2010","2010",90,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2011","2011",75,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2012","2012",98,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2013","2013",83,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2014","2014",104,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2015","2015",76,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2016","2016",99,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2017","2017",99,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2018","2018",80,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2019","2019",96,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2020","2020",107,,
"USA","United States","IFTD","Foreign-trained doctors - Annual inflow","IRL","Ireland","2021","2021",119,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2010","2010",1,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2014","2014",1,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2019","2019",0,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2020","2020",1,,
"BEL","Belgium","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2021","2021",0,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2000","2000",19,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2001","2001",27,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2002","2002",14,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2003","2003",33,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2004","2004",29,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2005","2005",21,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2006","2006",28,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2007","2007",34,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2008","2008",42,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2009","2009",58,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2010","2010",39,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2011","2011",46,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2012","2012",50,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2013","2013",42,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2014","2014",61,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2015","2015",43,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2016","2016",60,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2017","2017",53,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2018","2018",47,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2019","2019",54,,
"CAN","Canada","IFTD","Foreign-trained doctors - Annual inflow","ISR","Israel","2020","2020",63,,
